"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","This post has neither been said, nor written by me. I urge you to verify media circulated on WhatsApp and social pl… https://t.co/bv8UkGZi34",FALSE,157443,NA,2020-04-11 05:48:42,TRUE,NA,"1248850442030907398",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RNTata2000",35280,FALSE,FALSE,NA,NA
"2","In the spirit of solidarity https://t.co/1Svx5JZ0Vb",FALSE,110339,NA,2020-04-05 15:47:11,FALSE,NA,"1246826726061203457",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RNTata2000",16901,FALSE,FALSE,NA,NA
"3","The COVID 19 crisis is one of the toughest challenges we will face as a race. The Tata Trusts and the Tata group co… https://t.co/GQ6H6sSFcF",FALSE,213698,NA,2020-03-28 10:48:04,TRUE,NA,"1243852348637605888",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RNTata2000",61141,FALSE,FALSE,NA,NA
"4","The idea is not to test the limits of our planet and find out how much more damage it can take, but to come togethe… https://t.co/oj0KenwMaJ",FALSE,14414,NA,2020-01-23 10:14:34,TRUE,NA,"1220288709859299329",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RNTata2000",2363,FALSE,FALSE,NA,NA
"5","It makes me so happy that the Government of Odisha was awarded with the World Habitat Award for the Jaga mission wi… https://t.co/ndhk386nKG",FALSE,18571,NA,2019-12-10 10:04:54,TRUE,NA,"1204341209713594368",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RNTata2000",1691,FALSE,FALSE,NA,NA
"6","A lot has been said about the tragedy of 26/11. The memory of the carnage and loss of life, is still painful. We wo… https://t.co/qwBRbWwPNM",FALSE,52365,NA,2019-11-26 04:40:31,TRUE,NA,"1199186147131449345",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RNTata2000",7681,FALSE,FALSE,NA,NA
"7","The crowd of people on launch day showed that it wasn’t just about the coffee, but also about relationships. Wishin… https://t.co/RC6MxaSlue",FALSE,11128,NA,2019-11-09 05:27:00,TRUE,NA,"1193037247899033600",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RNTata2000",603,FALSE,FALSE,NA,NA
"8","I don’t know about breaking the internet, but I am so excited to join all of you on Instagram (ratantata)! After a… https://t.co/XbqATJSOyK",FALSE,55144,NA,2019-10-30 10:47:33,TRUE,NA,"1189494040099614720",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RNTata2000",4201,FALSE,FALSE,NA,NA
"9","Voting is the most powerful right of every citizen and it is our duty to exercise our vote. Please vote, our future depends on it!",FALSE,29528,NA,2019-03-15 09:31:13,FALSE,NA,"1106488010751643648",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RNTata2000",4923,FALSE,FALSE,NA,NA
"10","We congratulate the PM and the IAF for the successful air strikes on the terrorist training camps which Pakistan ha… https://t.co/fKn4rMVdx9",FALSE,109374,NA,2019-02-26 21:22:34,TRUE,NA,"1100506433945329664",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RNTata2000",19207,FALSE,FALSE,NA,NA
